Full Name,Nickname,Height,Weight,Reach,Stance,Date of Birth
Kevin Croom,Crash,"5' 11""",135 lbs.,"73""",Orthodox,"Jul 15, 1987"
Kevin Vallejos,El Chino,"5' 7""",145 lbs.,"68""",Switch,"Dec 08, 2001"
Kevin Borjas,El Gallo Negro,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 06, 1997"
Kevin Syler,El Nino Bala,"5' 9""",155 lbs.,"71""",Switch,"Jul 29, 1993"
Kevin Jackson,,"5' 10""",199 lbs.,--,Switch,--
Kevin Roddy,K-Rod,"5' 11""",145 lbs.,--,,--
Kevin Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974"
Kevin Casey,King,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981"
Kevin Knabjian,,"5' 10""",170 lbs.,--,Orthodox,"Jul 05, 1984"
Kevin Gray,Pocket Herc,"5' 4""",125 lbs.,"67""",Orthodox,"May 03, 1985"
Kevin Natividad,Quicksand,"5' 6""",135 lbs.,"70""",Orthodox,"Apr 02, 1993"
Kevin Rosier,,"6' 4""",275 lbs.,--,Orthodox,--
Kevin Szaflarski,,"6' 5""",260 lbs.,"77""",Orthodox,"Dec 30, 1994"
Kevin Burns,The Fire,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980"
Kevin Engel,The Hitman,"6' 2""",170 lbs.,--,,--
Kevin Randleman,The Monster,"5' 10""",205 lbs.,--,Orthodox,"Aug 10, 1971"
Kevin Lee,The Motown Phenom,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992"
Kevin Haley,The North Woods Nightmare,"6' 2""",205 lbs.,--,,--
Kevin Jordan,The Shaman,"6' 3""",245 lbs.,--,Orthodox,"Dec 31, 1970"
Kevin Holland,Trailblazer,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992"
Khabib Nurmagomedov,The Eagle,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988"
Khadis Ibragimov,,"6' 3""",205 lbs.,"78""",Orthodox,"May 21, 1995"
Khadzhi Bestaev,Best,"6' 6""",185 lbs.,"76""",,"Jul 16, 1988"
Khalid Murtazaliev,,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 15, 1993"
Khalid Taha,The Warrior,"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992"
Khalil Rountree Jr.,,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990"
Khama Worthy,The Death Star,"5' 11""",155 lbs.,"74""",Orthodox,"Oct 15, 1986"
Khamzat Chimaev,Borz,"6' 2""",185 lbs.,"75""",Orthodox,"May 01, 1994"
Khaos Williams,The OxFighter,"6' 0""",170 lbs.,"77""",Orthodox,"Mar 30, 1994"
Khomkrit Niimi,The Bumblebee,"5' 2""",125 lbs.,--,,--
Khusein Askhabov,Nohcho,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 13, 1995"
Kiefer Crosbie,BDK,"5' 11""",170 lbs.,"70""",Switch,"Apr 05, 1990"
Kier Gooch,,--,155 lbs.,--,,"Apr 21, 1986"
Kiichi Kunimoto,Strasser,"5' 10""",170 lbs.,"71""",Orthodox,"May 01, 1981"
Kimo Leopoldo,,"6' 3""",235 lbs.,--,Orthodox,"Jan 05, 1968"
Kim In Seok,,"5' 6""",145 lbs.,--,Orthodox,--
Kim Couture,Sugar Free,"5' 8""",135 lbs.,--,Orthodox,"Dec 18, 1975"
King Green,,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986"
Kin Moy,Kong,"5' 5""",135 lbs.,--,,--
Kiran Singh,Stubborn,"5' 1""",115 lbs.,"65""",Orthodox,"Jul 25, 2000"
Kiril Sidelnikov,,"5' 11""",230 lbs.,--,,"Aug 17, 1988"
Kiru Sahota,,"5' 10""",125 lbs.,"73""",Orthodox,"May 28, 1995"
Kit Cope,Havoc,"6' 0""",170 lbs.,--,Orthodox,"Mar 17, 1977"
Kiyoshi Tamura,,"5' 11""",185 lbs.,--,Southpaw,"Dec 17, 1969"
KJ Noons,King,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 07, 1982"
Klayton Mai,,"5' 9""",125 lbs.,--,,"Nov 30, 1986"
Kleydson Rodrigues,KR,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 22, 1995"
Klidson Abreu,White Bear,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992"
Kody Steele,,"5' 9""",155 lbs.,"71""",Orthodox,"Apr 21, 1995"
Koichiro Matsumoto,,"5' 7""",145 lbs.,--,,"Mar 07, 1986"
Koji Kitao,,"6' 7""",350 lbs.,--,Southpaw,"Oct 12, 1963"
Koji Oishi,,"5' 8""",170 lbs.,--,Orthodox,"May 31, 1977"
Kolton Englund,White Assassin,"5' 10""",155 lbs.,"69""",Orthodox,"Jul 09, 1993"
Konstantin Erokhin,,"5' 11""",230 lbs.,--,Orthodox,"Jan 31, 1983"
Korey Kuppe,,"6' 5""",170 lbs.,"77""",Switch,"Jan 23, 1989"
Kotetsu Boku,,"5' 9""",154 lbs.,--,Orthodox,"May 27, 1977"
Koya Kanda,Bushido,"5' 9""",145 lbs.,"75""",Southpaw,"Dec 20, 1995"
Koyomi Matsushima,,"5' 7""",145 lbs.,"66""",Orthodox,"Oct 08, 1992"
Krishaun Gilmore,,--,--,--,,--
Kristian Rothaermel,,"6' 0""",205 lbs.,--,Open Stance,"Jan 31, 1972"
Kristof Midoux,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,"Jul 30, 1974"
Kris Moutinho,,"5' 7""",135 lbs.,"68""",Southpaw,"Aug 09, 1992"
Kris McCray,Savage,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981"
Kron Gracie,,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988"
Krzysztof Jotko,,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989"
Krzysztof Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77""",Open Stance,"Aug 02, 1977"
Kultar Gill,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,"Mar 24, 1979"
Kuniyoshi Hironaka,,"5' 10""",168 lbs.,"70""",Orthodox,"Jun 17, 1976"
Kurt Pellegrino,Batman,"5' 8""",155 lbs.,"70""",Orthodox,"May 07, 1979"
Kurt Holobaugh,,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 08, 1986"
Kurt Osiander,,--,185 lbs.,--,,--
Kwan Ho Kwak,,"5' 5""",135 lbs.,--,Switch,"Jun 18, 1989"
KyeungPyo Kim,Redhorse,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 29, 1992"
Kyler Phillips,The Matrix,"5' 8""",135 lbs.,"72""",Orthodox,"Jun 12, 1995"
Kyle Bolt,,"6' 2""",185 lbs.,--,,--
Kyle Reyes,Boom,"5' 8""",145 lbs.,--,,--
Kyle Bradley,,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982"
Kyle Daukaus,,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993"
Kyle Dietz,,"5' 8""",135 lbs.,--,Orthodox,"Apr 29, 1986"
Kyle Stewart,Gunz Up,"6' 0""",170 lbs.,"76""",Orthodox,"Jan 31, 1989"
Kyle Jensen,,"5' 9""",170 lbs.,--,Orthodox,"Jul 20, 1979"
Kyle Driscoll,KD,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994"
Kyle Bochniak,Killer B,"5' 7""",145 lbs.,"70""",Orthodox,"Feb 05, 1987"
Kyle Kingsbury,Kingsbu,"6' 4""",205 lbs.,"79""",Orthodox,"Mar 22, 1982"
Kyle Kurtz,,--,170 lbs.,--,,--
Kyle Levinton,,--,--,--,,--
Kyle Noblitt,,"6' 2""",243 lbs.,--,,"Dec 26, 1989"
Kyle Noke,,"6' 1""",170 lbs.,"76""",Southpaw,"Mar 18, 1980"
Kyle Prepolec,,"5' 10""",170 lbs.,"70""",Southpaw,"Aug 30, 1989"
Kyle Sturgeon,,"6' 3""",225 lbs.,--,Switch,--
Kyle Nelson,The Monster,"5' 11""",145 lbs.,"71""",Switch,"Apr 20, 1991"
Kyle Watson,,"6' 0""",155 lbs.,--,Southpaw,"Aug 09, 1979"
Kyoji Horiguchi,,"5' 5""",125 lbs.,"66""",Orthodox,"Oct 12, 1990"
Kyosuke Sasaki,,"5' 7""",183 lbs.,--,Southpaw,--
Kyron Bowen,Bullseye,"6' 3""",185 lbs.,"73""",Orthodox,"Dec 22, 1993"
Kyung Ho Kang,Mr. Perfect,"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987"
KyuSung Kim,,"5' 11""",125 lbs.,"69""",Orthodox,"Nov 05, 1992"
Lacey Schuckman,,"5' 3""",125 lbs.,--,,--
Lance Benoist,,"5' 11""",170 lbs.,"72""",Southpaw,"Aug 26, 1988"
Lance Gibson,Fearless,"5' 9""",185 lbs.,--,Orthodox,"Nov 20, 1970"
Lance Lawrence,,"6' 1""",145 lbs.,"74""",Orthodox,"Jun 26, 1993"
Landon Quinones,The Lone Wolf,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 21, 1995"
Landon Showalter,The Show,"6' 0""",185 lbs.,--,,"Jun 14, 1976"
Lando Vannata,Groovy,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992"
Lara Procopio,,"5' 4""",125 lbs.,"67""",Orthodox,"Nov 14, 1995"
Larissa Pacheco,,"5' 7""",135 lbs.,--,Orthodox,"Sep 07, 1994"
Larry Cureton,,"6' 2""",240 lbs.,--,Orthodox,--
Larry Parker,,"5' 11""",205 lbs.,--,Orthodox,--
Laureano Staropoli,Pepi,"6' 1""",185 lbs.,"71""",Orthodox,"Feb 27, 1993"
Lauren Murphy,Lucky,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1983"
Lauren Mueller,Princess Tiger,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991"
Lavar Johnson,Big,"6' 4""",240 lbs.,"82""",Orthodox,"Jun 11, 1977"
Laverne Clark,,"5' 11""",170 lbs.,--,Orthodox,"Dec 02, 1973"
Lazar Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68""",Southpaw,"Mar 22, 1989"
LC Davis,,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980"
Leah Letson,Nidas,"5' 7""",145 lbs.,"71""",Southpaw,"Aug 21, 1992"
Leandro Issa,Brodinho,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 19, 1983"
Leandro Silva,Buscape,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 11, 1985"
Lee Higgins,,--,155 lbs.,--,,"Jul 14, 1980"
Lee Kwan Bum,,"6' 2""",286 lbs.,--,Orthodox,--
Lee Gibson,Lethal,"5' 7""",155 lbs.,--,,--
Lee Murray,Lightning,"6' 3""",185 lbs.,--,Orthodox,"Sep 12, 1977"
Lee Brousseau,Manimal,"6' 1""",205 lbs.,--,,"Oct 04, 1974"
Leigh Remedios,Bulldog,"5' 7""",155 lbs.,--,Orthodox,"Jan 13, 1976"
Leiticia Pestova,,"5' 6""",135 lbs.,--,Orthodox,"Jan 15, 1984"
Lemont Davis,,"5' 8""",170 lbs.,--,Orthodox,--
Len Bentley,,"5' 9""",155 lbs.,--,,"Nov 30, 1982"
Leonardo Silva de Oliveira,Cabecao,"6' 2""",185 lbs.,--,Orthodox,"Apr 23, 1992"
Leonardo Morales,Chimy,"5' 8""",135 lbs.,--,Southpaw,"Dec 22, 1992"
Leonardo Guimaraes,Leleco,"6' 0""",185 lbs.,--,Orthodox,"Apr 15, 1982"
Leonardo Mafra,Macarrao,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989"
Leonardo Damiani,Puppy,"5' 10""",170 lbs.,"69""",Orthodox,"Aug 30, 1990"
Leonardo Santos,,"6' 0""",155 lbs.,"75""",Orthodox,"Feb 05, 1980"
Leonard Garcia,Bad Boy,"5' 10""",145 lbs.,"68""",Orthodox,"Jul 14, 1979"
Leon Edwards,Rocky,"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991"
Leon Shahbazyan,,"6' 4""",170 lbs.,"74""",Orthodox,"Nov 18, 1995"
Leon Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989"
Leo Sylvest,Lethal,"5' 11""",205 lbs.,--,Orthodox,"Sep 03, 1973"
Leo Kuntz,The Lion,"5' 10""",155 lbs.,--,Orthodox,"Oct 03, 1983"
Lerone Murphy,The Miracle,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991"
Leslie Hernandez,Dora The Destroyer,--,115 lbs.,--,,--
Leslie Smith,The Peacemaker,"5' 9""",135 lbs.,"66""",Orthodox,"Aug 17, 1982"
Levan Makashvili,The Hornet,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989"
Levi Alford,,--,--,--,,--
Levi Avera,,"6' 1""",170 lbs.,--,,"May 17, 1982"
Lewis Gonzalez,Lethal,"5' 10""",170 lbs.,--,Orthodox,"Sep 19, 1987"
Liam Anderson,,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 13, 1995"
Liam McGeary,,"6' 6""",205 lbs.,--,,"Oct 04, 1982"
Liana Jojua,She Wolf,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 22, 1995"
Liang Na,The Dragon Girl,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1996"
Liliya Shakirova,,"5' 4""",125 lbs.,"65""",Orthodox,"Oct 24, 1991"
Lina Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982"
Lina Kvokov,,"5' 9""",135 lbs.,--,Orthodox,--
Linton Vassell,The Swarm,"6' 4""",205 lbs.,--,,"Jun 03, 1983"
Lionel Lanham,,--,205 lbs.,--,,"Aug 31, 1980"
Lisa Ellis,,"5' 4""",115 lbs.,--,,"Nov 15, 1982"
Lisa Kyriacou,The Savage,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 17, 1993"
Lissette Neri,,"5' 2""",145 lbs.,--,,"Aug 05, 1987"
Liudvik Sholinian,Palmeyros,"5' 10""",135 lbs.,"71""",Orthodox,"Jan 20, 1990"
Livinha Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63""",Orthodox,"Mar 11, 1991"
Liz Carmouche,Girlrilla,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984"
Li Jingliang,The Leech,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988"
Li Yunfeng,,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 08, 1999"
Lloyd Van Dams,,"6' 1""",240 lbs.,--,Southpaw,"Mar 05, 1972"
Lodune Sincaid,,"5' 9""",185 lbs.,--,Orthodox,"May 07, 1973"
Logan Clark,,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1985"
Logan Urban,Hulk,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 22, 1994"
Logan Nail,,--,185 lbs.,--,,"Jun 20, 1989"
Logan Woods,One Hit,--,185 lbs.,--,,"May 30, 1994"
Loik Radzhabov,The Tajik Tank,"5' 11""",155 lbs.,"69""",Orthodox,"Sep 17, 1990"
Lolohea Mahe,,--,--,--,,--
Loma Lookboonmee,,"5' 1""",115 lbs.,"61""",Orthodox,"Jan 18, 1996"
Lone'er Kavanagh,,"5' 4""",125 lbs.,"67""",Orthodox,"Jun 09, 1999"
Loopy Godinez,,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993"
Lorenzo Hood,Dream Killer,"6' 3""",265 lbs.,"80""",Southpaw,"Mar 02, 1989"
Lorenz Larkin,The Monsoon,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986"
Louis Cosce,,"5' 9""",170 lbs.,"71""",Orthodox,"Aug 27, 1995"
Louis Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68""",Orthodox,"Jul 16, 1991"
Louis Gaudinot,Goodnight,"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984"
Louis Taylor,Handgunz,"5' 11""",185 lbs.,--,Orthodox,"May 12, 1979"
Louis Jauregui,,"5' 7""",170 lbs.,--,,--
Louis Lee Scott,Lightning,--,135 lbs.,--,,"Feb 26, 2000"
Lowell Anderson,,"5' 6""",160 lbs.,--,Orthodox,--
Luana Carolina,Dread,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 11, 1993"
Luana Pinheiro,,"5' 2""",115 lbs.,"62""",Orthodox,"Nov 18, 1992"
Luana Santos,,"5' 6""",125 lbs.,"67""",Orthodox,"Apr 16, 2000"
Luan Lacerda,,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993"
Luan Chagas,Tarzan,"6' 0""",170 lbs.,"75""",Orthodox,"Jun 17, 1993"
Lucasz Sudolski,,"6' 4""",205 lbs.,"75""",Orthodox,"Jun 15, 1993"
Lucas Almeida,,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991"
Lucas Rocha,Fenomeno,"5' 3""",125 lbs.,"64""",Orthodox,"Aug 12, 2000"
Lucas Fernando,,"6' 3""",185 lbs.,"80""",,"Jan 10, 1997"
Lucas Gamaza,,--,170 lbs.,--,,--
Lucas Lopes,,"6' 2""",185 lbs.,--,,"Oct 05, 1979"
Lucas Camacho,Lucao,--,265 lbs.,--,,"Dec 15, 1992"
Lucas Martins,Mineiro,"6' 0""",145 lbs.,"72""",Southpaw,"Nov 11, 1988"
Lucas Stark,,--,155 lbs.,--,,--
Lucas Alexander,The Lion,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995"
Luciano Azevedo,,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981"
Luciano Pereira,El Torito,--,125 lbs.,--,Orthodox,"Jan 09, 2001"
Lucie Pudilova,,"5' 8""",125 lbs.,"67""",Orthodox,"Jun 13, 1994"
Lucio Linhares,,"6' 2""",185 lbs.,--,Orthodox,"Dec 08, 1973"
Lucrezia Ria,,"5' 6""",125 lbs.,--,Orthodox,"Jun 24, 1992"
Luc Bondole,,"6' 2""",205 lbs.,--,,--
Ludovit Klein,Mr. Highlight,"5' 7""",155 lbs.,"72""",Southpaw,"Feb 22, 1995"
Luigi Fioravanti,,"5' 8""",170 lbs.,"70""",Orthodox,"Jan 22, 1981"
Luigi Vendramini,The Italian Stallion,"5' 8""",155 lbs.,"73""",Orthodox,"Jan 16, 1996"
Luis Ramos,Beicao,"5' 8""",170 lbs.,--,Orthodox,"Jan 18, 1981"
Luis Pajuelo,Corazon de Leon,"5' 10""",145 lbs.,"69""",Orthodox,"Dec 18, 1994"
Luis Henrique,KLB,"6' 2""",243 lbs.,"74""",Orthodox,"Aug 21, 1993"
Luis Mendoza,,--,155 lbs.,--,,--
Luis Saldana,,"5' 11""",145 lbs.,"73""",Orthodox,"Jan 27, 1991"
Luis Santos,,"6' 1""",170 lbs.,--,Southpaw,--
Luis Gomez,Tiger Junior,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 28, 1995"
Luis Pena,Violent Bob Ross,"6' 3""",155 lbs.,"75""",Southpaw,"Jul 05, 1993"
Luiz Azeredo,,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976"
Luiz Cane,Banha,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 24, 1981"
Luiz Dutra,Besouro,"5' 11""",170 lbs.,--,Orthodox,"May 06, 1982"
Luiz Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,"Mar 18, 1982"
Lukasz Les,,--,170 lbs.,--,,"Nov 05, 1981"
Lukasz Brzeski,The Bull,"6' 4""",236 lbs.,"78""",Orthodox,"May 17, 1992"
Lukasz Sajewski,Wookie,"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990"
Luke Sanders,Cool Hand,"5' 6""",135 lbs.,"67""",Southpaw,"Dec 12, 1985"
Luke Cummo,,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 27, 1980"
Luke Flores,,"6' 0""",155 lbs.,"73""",Southpaw,"Mar 17, 1988"
Luke Hartwig,,--,--,--,,--
Luke Caudillo,Lil' Hulk,"5' 7""",155 lbs.,--,Orthodox,"Nov 30, 1980"
Luke Riley,,--,145 lbs.,--,,"Jun 30, 1999"
Luke Rockhold,,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 17, 1984"
Luke Stewart,,"5' 11""",170 lbs.,--,Orthodox,--
Luke Barnatt,The Bigslow,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988"
Luke Jumeau,The Jedi,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 12, 1988"
Luke Zachrich,,"6' 2""",185 lbs.,"74""",Orthodox,"Dec 19, 1981"
Lumumba Sayers,,"6' 0""",185 lbs.,--,,"Jun 30, 1978"
Lu Kai,The Last Gladiator,"5' 9""",145 lbs.,"69""",Orthodox,"Mar 01, 1994"
Lu Zhengyong,,--,125 lbs.,--,,--
Lv Zhenhong,,"5' 8""",145 lbs.,"67""",Switch,"Jun 25, 1993"
Lyle Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,"Feb 05, 1979"
Lyman Good,Cyborg,"6' 0""",170 lbs.,"74""",Orthodox,"May 26, 1985"
Lyoto Machida,The Dragon,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978"
Mabelly Lima,,"5' 2""",135 lbs.,--,Orthodox,"Jan 25, 1994"
Maciej Jewtuszko,Irokez,"6' 0""",155 lbs.,--,Southpaw,"Jan 31, 1981"
Mackens Semerzier,Da Menace,"5' 9""",145 lbs.,"72""",Orthodox,"Nov 03, 1980"
Mackenzie Dern,,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993"
Mack Brewer,,--,205 lbs.,--,,--
Macy Chiasson,,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991"
Mac Danzig,,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980"
Mads Burnell,,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 06, 1994"
Magno Almeida,,"6' 0""",155 lbs.,--,,"Jun 06, 1985"
Magnus Cedenblad,Jycken,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982"
Magomed Ankalaev,,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992"
Magomed Gadzhiyasulov,,"6' 2""",205 lbs.,"75""",Orthodox,"Nov 04, 1993"
Magomed Sultanakhmedov,,"6' 2""",185 lbs.,--,Southpaw,--
Magomed Mustafaev,The Sniper,"5' 8""",155 lbs.,"71""",Orthodox,"Aug 02, 1988"
Maiara Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987"
Maia Stevenson,,"5' 4""",115 lbs.,"62""",Orthodox,"Mar 19, 1982"
Maiju Kujala,,--,135 lbs.,--,,--
Maimaitituoheti Keremuaili,Kyrgyz Mountain Eagle,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 18, 1991"
Maiquel Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,"Mar 08, 1981"
Mairbek Taisumov,Beckan,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988"
Mairon Santos,The Legend,"5' 7""",145 lbs.,"72""",Orthodox,"Jun 10, 2000"
Maka Watson,,--,155 lbs.,--,,"Sep 22, 1984"
Makhmud Muradov,,"6' 2""",185 lbs.,"75""",Orthodox,"Feb 08, 1990"
Maki Pitolo,Coconut Bombz,"5' 10""",185 lbs.,"75""",Orthodox,"Nov 24, 1990"
Makoto Takimoto,,"5' 7""",205 lbs.,--,Southpaw,"Dec 08, 1979"
Makwan Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988"
Malcolm Wellmaker,The Machine,"5' 10""",135 lbs.,"71""",Switch,"Jun 04, 1994"
Malcolm Gordon,X,"5' 7""",125 lbs.,"71""",Switch,"May 19, 1990"
Malik Lewis,Hard Knock,"6' 0""",155 lbs.,"75""",Orthodox,"Mar 04, 1996"
Mallory Martin,,"5' 4""",115 lbs.,"63""",Orthodox,"Jan 29, 1994"
Mal Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,--
Mana Martinez,ManaBoi,"5' 10""",135 lbs.,"70""",Orthodox,"Mar 25, 1996"
Mando Gutierrez,El Toro,"5' 6""",135 lbs.,"70""",Southpaw,"Feb 24, 1997"
Mandy Bohm,Monster,"5' 7""",125 lbs.,"71""",Orthodox,"Jul 30, 1989"
Manel Kape,StarBoy,"5' 5""",125 lbs.,"68""",Southpaw,"Nov 14, 1993"
Manny Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 16, 1994"
Manny Tapia,The Mangler,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981"
Manny Vazquez,,"5' 10""",125 lbs.,"72""",Orthodox,"Nov 19, 1993"
Manolo Zecchini,Angelo Veneziano,"5' 8""",145 lbs.,"68""",Orthodox,"Oct 22, 1996"
Manon Fiorot,The Beast,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990"
Mansur Abdul-Malik,,"6' 2""",185 lbs.,"79""",Orthodox,"Oct 07, 1997"
Manuel Rodriguez,Chalate,"5' 9""",170 lbs.,--,Orthodox,"Apr 25, 1985"
Manuel Torres,El Loco,"5' 10""",155 lbs.,"73""",Switch,"Mar 25, 1995"
Manuel Gaxhja,,"5' 8""",155 lbs.,--,Switch,"Jul 23, 1997"
Manvel Gamburyan,The Anvil,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981"
Mara Romero Borella,,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 03, 1986"
Marc-Andre Barriault,Powerbar,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990"
Marcelo Aguiar,,"5' 10""",170 lbs.,--,Orthodox,--
Marcelo Golm,,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992"
Marcelo Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,"Nov 27, 1977"
Marcelo Guimaraes,Magrao,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 25, 1983"
Marcelo Mello,,"5' 7""",170 lbs.,--,Southpaw,--
Marcelo Rojo,Pitbull,"5' 8""",145 lbs.,"71""",Orthodox,"Jul 02, 1988"
Marcel Fortuna,,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985"
Marcin Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,"Oct 10, 1989"
Marcin Held,,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 18, 1992"
Marcin Prachnio,,"6' 3""",205 lbs.,"74""",Orthodox,"Jul 14, 1988"
Marcin Wrzosek,The Polish Zombie,"5' 9""",155 lbs.,--,,"Oct 14, 1987"
Marcin Tybura,Tybur,"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985"
Marcio Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989"
Marcio Cruz,Pe de Pano,"6' 4""",232 lbs.,--,Orthodox,"Apr 24, 1978"
Marcio Navarro,The Locomotive,"6' 0""",155 lbs.,--,,"Sep 17, 1978"
Marcos Conrado Jr.,,"6' 2""",220 lbs.,--,Orthodox,"Mar 14, 1982"
Marcos Mariano,Dhalsim,"6' 1""",155 lbs.,"76""",Switch,"Oct 12, 1986"
Marcos Brigagao,Ironside,"6' 3""",205 lbs.,"76""",Southpaw,"Apr 01, 1996"
Marcos Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,"Jun 23, 1981"
Marcos Bonilla,Murder Marx,"5' 10""",145 lbs.,--,,--
Marcos da Matta,Parrumpinha,"5' 4""",145 lbs.,--,,"Mar 18, 1973"
